=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2021.12.19 16:51:46 =~=~=~=~=~=~=~=~=~=~=~=
PW Thrust: -2.30lbs, Moment: -1.66lbs, Battery Voltag1.58lbs, Battery Voltage: 26.20V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: -23.24lbs, Moment: -16.66lbs, Battery Voltage: 26.05V, Current: 3.16A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.12lbs, Moment: 1.55lbs, Battery Voltage: 26.05V, Current: 5.52A, RPM: 54720
PWM Percent: 0.00%, Thrust: -33.66lbs, Moment: -22.97lbs, Battery Voltage: 26.05V, Current: 3.58A, RPM: 54900
PWM Percent: 0.00%, Thrust: 0.64lbs, Moment: 0.53lbs, Battery Voltage: 26.08V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.16lbs, Moment: 1.54lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.59lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.17lbs, Moment: 1.56lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.16lbs, Moment: 1.57lbs, Battery Voltage: 26.02V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.16lbs, Moment: 1.54lbs, Battery Voltage: 26.02V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.17lbs, Moment: 1.56lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.56lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.56lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.14lbs, Moment: 1.56lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.18lbs, Moment: 1.57lbs, Battery Voltage: 26.02V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: -6.24lbs, Moment: -6.43lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.16lbs, Moment: 1.58lbs, Battery Voltage: 26.02V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.21lbs, Moment: 1.57lbs, Battery Voltage: 26.05V, Current: 3.07A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.16lbs, Moment: 1.55lbs, Battery Voltage: 26.02V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 2.17lbs, Moment: 1.56lbs, Battery Voltage: 26.02V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.95lbs, Moment: 1.40lbs, Battery Voltage: 26.14V, Current: 3.24A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.78lbs, Moment: 1.28lbs, Battery Voltage: 26.05V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.79lbs, Moment: 1.27lbs, Battery Voltage: 26.00V, Current: 2.99A, RPM: 0
PWM Percent: 0.00%, Thrust: 1.74lbs, Moment: 1.20lbs, Battery Voltage: 26.02V, Current: 2.99A, RPM: 0
P
